name,id,lat,lon,population,number,score,parent_country,success,is_altername
Montana,0000207013,46.8796822,-110.3625658,1084225,15.0,1.0,USA,True,False
Alaska,0000197513,64.2008413,-149.4936733,733391,16.0,1.0,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,17.0,0.10478800580364345,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,18.0,0.3845039012357364,USA,True,False
Santa Rosa,0000199023,38.44047,-122.71443,2675,4.0,0.6038282712396594,USA,True,False
Sonoma County,0000199069,38.52529,-122.92254,488863,5.0,1.0,USA,True,False
Sebastopol,0000199038,38.40214,-122.82388,7678,7.0,1.0,USA,True,False
Oakland,0000198823,37.80437,-122.2708,936,,,USA,True,False
Indiana,0000202298,40.2671941,-86.1349019,1000000,18.0,0.5909090909090908,USA,True,False
Arizona,0000197610,34.0489281,-111.0937311,7151502,6.0,1.0,USA,True,False
Nevada,0000207415,38.8026097,-116.419389,1000000,7.0,0.3403141361256544,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,8.0,0.3845039012357364,USA,True,False
New Mexico,0000208239,34.5199402,-105.8700901,2117522,9.0,1.0,USA,True,False
Miami-Dade County,0000200264,25.60897,-80.49867,2701767,13.0,1.0,USA,True,False
Florida,0000199794,27.6648274,-81.5157535,1000000,11.0,0.5628344237673027,USA,True,False
Colorado,0000199251,39.5500507,-105.7820674,5773714,,,USA,True,False
Wyoming,0000216938,43.0759678,-107.2902839,1000000,,,USA,True,False
Utah,0000214983,39.3209801,-111.0937311,3271616,,,USA,True,False
New Mexico,0000208239,34.5199402,-105.8700901,2117522,,,USA,True,False
Nevada,0000207415,38.8026097,-116.419389,1000000,,,USA,True,False
Arizona,0000197610,34.0489281,-111.0937311,7151502,,,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,9.0,0.3845039012357364,USA,True,False
Sacramento,0000198965,38.58157,-121.4944,524943,0.0,1.0,USA,True,False
Louisiana,0000203829,30.9842977,-91.9623327,1000000,0.0,0.5909090909090908,USA,True,False
Sacramento,0000198965,38.58157,-121.4944,524943,,,USA,True,False
Weston,0000200607,26.10037,-80.39977,647,0.0,0.15625,USA,True,False
Wyoming,0000216938,43.0759678,-107.2902839,1000000,2.0,0.2258905299739357,USA,True,False
South Dakota,0000213148,43.9695148,-99.9018131,886667,3.0,1.0,USA,True,False
Copiague,0000208613,40.68149,-73.39984,22993,2.0,1.0,USA,True,False
Melville,0000204031,30.69297,-91.744,1320,1.0,0.35714285714285715,USA,True,False
Upton,0000205160,42.17454,-71.60229,1109,3.0,0.5263157894736842,USA,True,False
Uniondale,0000209359,40.70038,-73.59291,24759,10.0,1.0,USA,True,False
New York,0000208422,40.7127753,-74.0059728,20201249,16.0,1.0,USA,True,False
Middleton,0000201386,43.70683,-116.62014,6828,12.0,0.4068348250610252,USA,True,False
Amityville,0000208441,40.67899,-73.41707,9486,15.0,1.0,USA,True,False
San José,0000212773,18.39833333,-66.25583333,0,0.0,1.0,USA,True,False
Havana,0000200080,30.62381,-84.41463,3076,1.0,0.5263157894736842,USA,True,False
Oregon,0000211241,43.8041334,-120.5542012,1000000,16.0,0.28077753779697623,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,17.0,0.10478800580364345,USA,True,False
Medford,0000205009,42.41843,-71.10616,79805,2.0,0.18181818181818182,USA,True,False
Portland,0000199664,41.57288,-72.64065,652503,4.0,0.14637002341920374,USA,True,False
Alabama,0000197134,32.3182314,-86.902298,1000000,6.0,0.5909090909090908,USA,True,False
Maine,0000204174,45.253783,-69.4454689,1000000,7.0,0.5909090909090908,USA,True,False
Virginia,0000215288,37.4315734,-78.6568942,1000000,8.0,0.48139411736388577,USA,True,False
West Virginia,0000216227,38.5976262,-80.4549026,1793716,9.0,1.0,USA,True,False
Texas,0000213703,31.9685988,-99.9018131,29145505,14.0,1.0,USA,True,False
New Mexico,0000208239,34.5199402,-105.8700901,2117522,11.0,1.0,USA,True,False
Midland,0000205541,43.61558,-84.24721,8962,12.0,0.23584905660377356,USA,True,False
Odessa,0000200323,28.1939,-82.59176,871,13.0,0.35714285714285715,USA,True,False
Fremont County,0000199364,38.47297,-105.43966,0,,,USA,True,False
Fremont County,0000199364,38.47297,-105.43966,0,3.0,0.25,USA,True,False
Oceanside,0000198828,33.19587,-117.37948,175691,2.0,0.5263157894736842,USA,True,False
Nassau,0000209036,42.51591,-73.61012,1124,3.0,1.0,USA,True,False
Mineola,0000208999,40.74927,-73.64068,19139,4.0,0.5263157894736842,USA,True,False
Terrytown,0000204137,29.91021,-90.03257,1172,,,USA,True,False
Colorado,0000199251,39.5500507,-105.7820674,5773714,19.0,1.0,USA,True,False
Denver,0000199328,39.73915,-104.9847,715522,18.0,0.2702702702702703,USA,True,False
Boulder,0000199277,40.01499,-105.27055,1207,17.0,0.5263157894736842,USA,True,False
Castle Rock,0000199294,39.37221,-104.85609,2184,7.0,0.5263157894736842,USA,True,False
Colorado Springs,0000199310,38.83388,-104.82136,478961,8.0,1.0,USA,True,False
Pueblo,0000199479,38.25445,-104.60914,111876,9.0,1.0,USA,True,False
Hidalgo,0000214203,26.10035,-98.26307,13709,11.0,1.0,USA,True,False
Chicago,0000201570,41.85003,-87.65005,2746388,0.0,1.0,USA,True,False
Wisconsin,0000216445,43.7844397,-88.7878678,5893718,2.0,1.0,USA,True,False
Wyoming,0000216938,43.0759678,-107.2902839,1000000,9.0,0.2258905299739357,USA,True,False
Kansas,0000203119,39.011902,-98.4842465,1000000,3.0,0.4318936877076412,USA,True,False
New York,0000208422,40.7127753,-74.0059728,20201249,4.0,1.0,USA,True,False
Nevada,0000207415,38.8026097,-116.419389,1000000,5.0,0.3403141361256544,USA,True,False
Nebraska,0000207176,41.4925374,-99.9018131,1961504,12.0,1.0,USA,True,False
Michigan,0000205217,44.3148443,-85.6023643,10077331,7.0,1.0,USA,True,False
Arizona,0000197610,34.0489281,-111.0937311,7151502,8.0,1.0,USA,True,False
Colorado,0000199251,39.5500507,-105.7820674,5773714,11.0,1.0,USA,True,False
Texas,0000213703,31.9685988,-99.9018131,29145505,14.0,1.0,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,16.0,0.3845039012357364,USA,True,False
Belfast,0000204188,44.42591,-69.00642,1257,1.0,0.5263157894736842,USA,True,False
Las Vegas,0000207452,36.17497,-115.13722,623747,2.0,0.578368999421631,USA,True,False
Hamlin,0000208804,43.30312,-77.92112,2042,2.0,0.35714285714285715,USA,True,False
Codington County,0000213180,44.97785,-97.18862,28325,1.0,1.0,USA,True,False
Minnesota,0000205745,46.729553,-94.6858998,5706494,3.0,1.0,USA,True,False
South Dakota,0000213148,43.9695148,-99.9018131,886667,4.0,1.0,USA,True,False
Hamlin,0000208804,43.30312,-77.92112,2042,2.0,0.35714285714285715,USA,True,False
Codington County,0000213180,44.97785,-97.18862,28325,1.0,1.0,USA,True,False
Minnesota,0000205745,46.729553,-94.6858998,5706494,3.0,1.0,USA,True,False
South Dakota,0000213148,43.9695148,-99.9018131,886667,4.0,1.0,USA,True,False
Chicago,0000201570,41.85003,-87.65005,2746388,0.0,1.0,USA,True,False
Ellicott City,0000204560,39.26733,-76.79831,75947,,,USA,True,False
Howard County,0000197969,34.08874,-93.99349,0,,,USA,True,False
Milan,0000201940,41.45309,-90.57208,3250,2.0,0.13698630136986298,USA,True,False
Utah,0000214983,39.3209801,-111.0937311,3271616,3.0,1.0,USA,True,False
New Britain,0000199627,41.66121,-72.77954,3017,5.0,0.5263157894736842,USA,True,False
Manila,0000198011,35.88007,-90.16704,331,12.0,0.5263157894736842,USA,True,False
Wellington,0000199530,40.70387,-105.00859,7807,15.0,0.19801980198019806,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,27.0,0.10478800580364345,USA,True,False
London,0000198003,35.32897,-93.25296,1869,47.0,0.2702702702702703,USA,True,False
Audubon County,0000202756,41.68459,-94.90582,5674,,,USA,True,False
Perry County,0000197408,32.63847,-87.2944,0,0.0,0.1,USA,True,False
Kansas,0000203119,39.011902,-98.4842465,1000000,0.0,0.4318936877076412,USA,True,False
Colorado,0000199251,39.5500507,-105.7820674,5773714,6.0,1.0,USA,True,False
Fort Morgan,0000199359,40.25026,-103.79995,11597,2.0,1.0,USA,True,False
Denver,0000199328,39.73915,-104.9847,715522,5.0,0.2702702702702703,USA,True,False
Glenwood,0000197938,34.32677,-93.55074,2568,7.0,0.2702702702702703,USA,True,False
Aspen,0000199264,39.1911,-106.81754,7004,9.0,1.0,USA,True,False
Mesa,0000197729,33.42227,-111.82264,471825,10.0,1.0,USA,True,False
Michigan,0000205217,44.3148443,-85.6023643,10077331,0.0,1.0,USA,True,False
Lansing,0000201854,41.56476,-87.53893,634,2.0,0.2702702702702703,USA,True,False
South Carolina,0000212864,33.836081,-81.1637245,5118425,21.0,1.0,USA,True,False
Arizona,0000197610,34.0489281,-111.0937311,7151502,22.0,1.0,USA,True,False
Ocean Springs,0000206396,30.41131,-88.82781,17636,3.0,1.0,USA,True,False
Mississippi,0000206206,32.3546679,-89.3985283,2961279,1.0,1.0,USA,True,False
Springs,0000209310,41.01621,-72.15924,6592,4.0,1.0,USA,True,False
Chicago,0000201570,41.85003,-87.65005,2746388,0.0,1.0,USA,True,False
